Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.392"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.332"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.702"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.608"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.239"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.155"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.797"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.627"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.719"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.701"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.299"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.812"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.926"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.662"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.957"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.894"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.877"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.922"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.513"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.49"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2022","2022","°c","3.196"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.83"
